Project,Title,Agreement Date,Start Date Planned,Start Date Actual,End Date Planned,End Date Actual,Year,Sector,Focus Area,Zone,State,LGA,Funding Source,Funding Agencies,Implementer,Project Cost (USD),Committed (USD),Disbursed (USD),Autocoder ADM2 Geonames Matches,Autocoder ADM1 Geonames Matches,Autocoder Country Geonames Match
NGA/000154,Employment-oriented Private Sector Development Programme,,01/09/2003,01/09/2003,31/03/2011,31/03/2011, Unplanned; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011,  Unspecified,  Unspecified,North Central ,Nasarawa; Niger; Plateau,  Unspecified,BMZ,BMZ, Unspecified,"26,576,577",,,,"'Nasarawa State', '2595348'; 'Niger State', '2328925'; 'Plateau State', '2324828'","'Federal Republic of Nigeria', '2328926'"
NGA/000156,Building Nigeria's Response to Climate Change(BNRCC),,02/02/2007,02/02/2007,09/09/2011,30/03/2012,2007; 2008; 2009; 2010; 2011; 2012,Energy and Environment; Government,  Unspecified; Public Sector Policy; Administrative Management,  Unspecified,  Unspecified,  Unspecified,Canada,Canada,Canada,"4,199,033","4,199,033","4,199,033",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000157,CANADA FUND FOR LOCAL INITIATIVES,,01/04/2011,01/04/2011,31/03/2012,31/03/2012,2011; 2012,Energy and Environment; Health; Poverty Alleviation,  Unspecified, Unallocated; North Eastern ; North Central ; South Western; South South," Unallocated; Cross River; Federal Capital Territory, Abuja; Gombe; Lagos",  Unspecified;  Unallocated,Canada,Canada,Canada,"412,855","412,855","412,855",,"'Cross River State', '2345891'; 'Gombe State', '2595347'; 'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
NGA/000158,AGRICULTURAL POLICY SUPPORT FACILITY,,21/07/2005,21/07/2005,16/10/2009,16/10/2009, Unplanned; 2005; 2006; 2007; 2008; 2009,Agriculture,Agricultural resource Policy,  Unspecified,  Unspecified,  Unspecified,Canada,Canada,International Food policy Research Institute (IFPRI),"2,871,613","2,232,551","2,397,872",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000159,SCHOOLS OF HEALTH TECHNOLOGY AND PRIMARY HEALTH CARE,,03/03/2003,03/03/2003,31/03/2012,29/11/2013, Unplanned; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013,Health,  Unspecified,North Eastern ; South South,Bauchi; Cross River,  Unspecified,Canada,Canada,Canada,"17,542,866","17,542,866","15,781,580",,"'Bauchi State', '2347468'; 'Cross River State', '2345891'","'Federal Republic of Nigeria', '2328926'"
NGA/000160,PROMOTING SUSTAINABLE AGRICULTURE IN BORNO STATE,,24/09/2003,24/09/2003,31/03/2010,30/10/2009,2003; 2004; 2005; 2006; 2007; 2008; 2009,Agriculture,  Unspecified,North Eastern ,Borno,  Unspecified,Canada,Canada,International Institute of Tropical Agriculture,"6,231,828","6,231,827","6,231,827",,"'Borno State', '2346794'","'Federal Republic of Nigeria', '2328926'"
NGA/000161,DEEPENING DEMOCRACY and ELECTION SUPPORT,,01/03/2011,,27/02/2015,,2011; 2012; 2013; 2014; 2015,Political System,Electoral Process,  Unspecified,  Unspecified,  Unspecified,Canada,Canada,UNDP,"6,000,000","6,000,000","1,500,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000162,NIGERIA EVIDENCE BASED HEALTH SYSTEM INITIATIVE(NEHSI),,11/07/2008,11/07/2008,31/07/2014,31/07/2014,2008; 2009; 2010; 2011; 2012; 2013; 2014,Health,  Unspecified,North Eastern ; South South,Bauchi; Cross River,  Unspecified,Canada,Canada,International Development Research Centre,"16,113,580","16,113,579","15,683,673",,"'Bauchi State', '2347468'; 'Cross River State', '2345891'","'Federal Republic of Nigeria', '2328926'"
NGA/000163,Intergral Application to Sustainability Leading From Within,,03/12/2008,03/12/2008,04/01/2012,04/01/2012,2008; 2009; 2010; 2011; 2012,Energy and Environment; Civil Society ,  Unspecified,South South,Cross River,  Unspecified,Canada,Canada,OneSky,"312,516","312,516",,,"'Cross River State', '2345891'","'Federal Republic of Nigeria', '2328926'"
NGA/000164,EU Support to Immunisation Governance in Nigeria (EU SIGN),,24/03/2011,,24/03/2017,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016; 2017,Health,Immunisation,North Eastern ; North Western; North Central ; South Eastern; South Western; South South,"Abia; Akwa Ibom; Anambra; Bauchi; Cross River; Ebonyi; Edo; Federal Capital Territory, Abuja; Gombe; Jigawa; Kaduna; Kano; Katsina; Kebbi; Kogi; Kwara; Lagos; Ogun; Osun; Plateau; Rivers; Sokoto; Yobe; Zamfara",  Unspecified,United Nations; European Commission,World Health Organisation (WHO); European Commission, Unspecified,"110,000,000",,,,"'Abia State', '2565340'; 'Akwa Ibom State', '2350813'; 'Anambra State', '2349961'; 'Bauchi State', '2347468'; 'Cross River State', '2345891'; 'Ebonyi State', '2595345'; 'Edo', '2565343'; 'Gombe State', '2595347'; 'Jigawa State', '2565345'; 'Kaduna State', '2335722'; 'Kano State', '2335196'; 'Katsina State', '2334797'; 'Kebbi State', '2597363'; 'Kogi State', '2597364'; 'Kwara State', '2332785'; 'Lagos State', '2332453'; 'Ogun State', '2327546'; 'Osun State', '2597365'; 'Plateau State', '2324828'; 'Rivers State', '2324433'; 'Sokoto State', '2322907'; 'Yobe State', '2597367'; 'Zamfara State', '2595349'","'Federal Republic of Nigeria', '2328926'"
NGA/000165,Niger Delta Local Development Programme (LDP),,07/03/2007,,30/03/2012,,2007,Government,Capacity Building in Government,South Western; South South,Bayelsa; Ondo,Sagbama; Okitipupa,United Nations,UNDP, Unspecified,,,,"'Sagbama', '8638073'; 'Okitipupa', '8636748'","'Bayelsa State', '2595344'; 'Ondo State', '2326168'","'Federal Republic of Nigeria', '2328926'"
NGA/000166,Global Environment Facilty Small Grants Programme,,02/03/2009,,02/02/2015,,2009; 2010; 2011; 2012; 2013; 2014; 2015,Energy and Environment,Energy Efficiency and Cleaner Production Techniques,North Central ,"Federal Capital Territory, Abuja",AbujaMun,United Nations,UNDP,UNDP,0,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000167,Global Environment Facility Small Grants  Programme (SGP),,03/03/2009,,04/03/2014,,2009; 2010; 2011; 2012; 2013; 2014,Energy and Environment,Energy Efficiency and Cleaner Production Techniques,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,Fed. Ministry of Environment,"4,500,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000168,Buidling Capacity to Effectively Implement Nigeria's Science and Technology Innovation (STI) Policy,,04/01/2012,,31/12/2013,,2012; 2013,Poverty Alleviation,Data Collection/Analysis,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,Fed. Ministry of Science & Techn,"501,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000169,Development Planning and Statistics,,02/09/2009,,31/12/2013,,2009; 2010; 2011; 2012; 2013,Poverty Alleviation,Data Collection/Analysis,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,Fed. Ministry of Economic Planning,0,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000170,Engaging Citizens Engagement in Accelerating the Attainment of MDGs in Nigeria,,04/04/2011,,30/03/2012,,2011; 2012,Poverty Alleviation,Data Collection/Analysis,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,GoN,"554,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000171,Federal Public Accountability,,05/01/2009,,31/12/2013,,2009; 2010; 2011; 2012; 2013,Government,Anticorruption Enforcement,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,BPE,"4,000,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000172,Institutionalization of an Architecture and System of Aid Coordination and Management,,05/01/2009,,31/12/2013,,2009; 2010; 2011; 2012; 2013,Government,Capacity Building in Government,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,National Planning Commission,"500,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000173,Promoting Energy Efficiency in Residetial and Public Sector in Nigeria,,05/09/2011,,31/08/2015,,2011; 2012; 2013; 2014; 2015,Energy and Environment,Energy Efficiency and Cleaner Production Techniques,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,Fed. Ministry of Environment,"4,000,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000174,Facility for Inclusive Market (FIM) Support to the Federal Ministry of Agriculture and Rural Development,,03/01/2012,,31/12/2013,,2012; 2013,Agriculture,Agro-Industry Productive Capacity,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,Fed. Ministry of Agriculture,0,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000175,Promoting better management of Migration in Nigeria by combating & reducing irregular migration through trafficking in Persons & smuggling of Migrants,06/07/2011,18/07/2011,,18/01/2015,,2011; 2012; 2013; 2014; 2015,Migration Management,  Unspecified,North Western; North Central ; South Western; South South,"Benue; Cross River; Edo; Federal Capital Territory, Abuja; Kano; Lagos; Sokoto",  Unspecified,European Commission,European Commission,United Nations Office on Drugs & Crime (UNODC),"4,600,000",,,,"'Benue State', '2347266'; 'Cross River State', '2345891'; 'Edo', '2565343'; 'Kano State', '2335196'; 'Lagos State', '2332453'; 'Sokoto State', '2322907'","'Federal Republic of Nigeria', '2328926'"
NGA/000177,Promoting better management of Migration in Nigeria - Inception Phase,,16/06/2011,,16/05/2012,,2011; 2012,Judiciary Reform,  Unspecified,North Central ,"Federal Capital Territory, Abuja",  Unspecified,European Commission,European Commission,International Organization for Migration (IOM),"1,193,646",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000178,Passport to Safe Migration,,07/05/2012,,07/05/2013,,2012; 2013,Migration Management,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Spain,Spain, Unspecified,0,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000179,Strengthening Mathematics and Science Education (SMASE) Project (Phase 1),07/08/2006,15/08/2005,07/08/2006,31/07/2009,31/07/2009, Unplanned; 2006; 2007; 2008; 2009,  Unspecified,  Unspecified,North Western; North Central ,Kaduna; Niger; Plateau,  Unspecified,Japan,JICA - Japan International Cooperation Agency,JICA - Japan International Cooperation Agency,"615,971","615,971","615,971",,"'Kaduna State', '2335722'; 'Niger State', '2328925'; 'Plateau State', '2324828'","'Federal Republic of Nigeria', '2328926'"
NGA/000180,Nigerian Infrastructure Advisory Facility 2 (NIAF II),,15/12/2011,15/12/2011,14/12/2016,,2011; 2012; 2013; 2014; 2015; 2016,Energy and Environment; Poverty Alleviation; Public Finance Management,  Unspecified; Energy Efficiency and Cleaner Production Techniques,North Central ,"Federal Capital Territory, Abuja",AbujaMun,United Kingdom (DFID),United Kingdom (DFID),Adams Smith International (ASI),"166,361,645",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000181,"State Partnerships for Accountability, Responsiveness and Capability",,18/06/2007,01/08/2008,30/09/2016,30/09/2016,2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016,Government;  Unallocated; Public Finance Management,  Unspecified;  Unallocated; Improving Local Governance; Administrative Management,North Western; North Central ; South Western,"Federal Capital Territory, Abuja; Jigawa; Kaduna; Kano; Lagos",  Unspecified,United Kingdom (DFID),United Kingdom (DFID),HTSPE,"105,454,095",,,,"'Jigawa State', '2565345'; 'Kaduna State', '2335722'; 'Kano State', '2335196'; 'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
NGA/000182,Facility for Oil Sector Transparency (FOSTER),,01/06/2009,01/06/2009,30/06/2015,,2009; 2010; 2011; 2012; 2013; 2014; 2015,Public Finance Management,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Kingdom (DFID),United Kingdom (DFID),Oxford policy Management OPM,"24,361,259",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000183,J4A-Justice for All,,01/10/2008,22/10/2008,31/10/2016,31/10/2016,2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016,Government; Human Rights; Judiciary Reform; Public Finance Management,  Unspecified; Administrative Management,North Western; South Eastern; South Western,Enugu; Jigawa; Kano; Lagos,  Unspecified,United Kingdom (DFID),United Kingdom (DFID),British Council,"82,216,688",,,,"'Enugu State', '2565344'; 'Jigawa State', '2565345'; 'Kano State', '2335196'; 'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
NGA/000184,"NGAX 41: Promoting better management of migration in Nigeria by combating and reducing irregular migration that occurs, inter alia, through TIP/SOM",01/07/2011,01/07/2011,01/07/2011,01/07/2015,,2011; 2012; 2013; 2014; 2015,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,European Commission,European Commission,United Nations Office on Drugs & Crime (UNODC),"6,864,000","6,578,000",,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000185,States Accountability and Voice Initiative (SAVI),,31/07/2008,01/08/2008,31/12/2014,01/01/2015,2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015,Government; Human Rights; Women's Empowerment; Civil Society ; Public Finance Management,  Unspecified; Improving Local Governance; Anticorruption Enforcement,North Western; North Central ; South Western,"Federal Capital Territory, Abuja; Jigawa; Kaduna; Kano; Lagos",  Unspecified,United Kingdom (DFID),United Kingdom (DFID),GRM international,"50,484,918",,,,"'Jigawa State', '2565345'; 'Kaduna State', '2335722'; 'Kano State', '2335196'; 'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
NGA/000187,Federal Public Administration Reform Programme,,01/01/2010,01/04/2010,29/02/2016,29/08/2016,2010; 2011; 2012; 2013; 2014; 2015; 2016,Government; Public Finance Management,  Unspecified; Anticorruption Enforcement; Administrative Management,North Central ,"Federal Capital Territory, Abuja",  Unspecified,United Kingdom (DFID),United Kingdom (DFID),ATOS,"50,700,888",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000188,Emergency Response Training for the Public and Secondary School Students,,16/01/2012,27/02/2012,13/02/2012,03/03/2012,2012,Health,Other,South Eastern,Enugu,Enugu North, Unspecified, Unspecified, Unspecified,0,,,"'Enugu North', '8659740'","'Enugu State', '2565344'","'Federal Republic of Nigeria', '2328926'"
NGA/000189,Emergency Responce Training for the Public and Secondary Schools,,16/01/2012,27/02/2012,13/02/2012,03/03/2012,2012,Health;  Unallocated, Unallocated; Other, Unallocated; South Eastern, Unallocated; Enugu, Unallocated; Enugu North, Unspecified, Unspecified, Unspecified,0,,,"'Enugu North', '8659740'","'Enugu State', '2565344'","'Federal Republic of Nigeria', '2328926'"
NGA/000190,Support of CFH Immunization Centre,,16/01/2012,16/01/2012,31/12/2012,31/12/2012,2012, Unallocated; Primary Health Care,  Unspecified;  Unallocated, Unallocated; South Eastern, Unallocated; Enugu, Unallocated; Enugu North, Unspecified, Unspecified, Unspecified,0,,,"'Enugu North', '8659740'","'Enugu State', '2565344'","'Federal Republic of Nigeria', '2328926'"
NGA/000191,Support of ORT/FIRST AID CENTRE at Ogbete Main Market,20/11/2007,31/12/1990,04/01/2012,31/12/2012,31/12/2012, Unplanned; 1990; 2012,Health,Other,South Eastern,Enugu,Enugu North, Unspecified, Unspecified, Unspecified,"5,000",,,"'Enugu North', '8659740'","'Enugu State', '2565344'","'Federal Republic of Nigeria', '2328926'"
NGA/000192,First Aid Training of Teachers,20/11/2007,09/01/2012,21/05/2012,31/12/2012,26/05/2012, Unplanned; 2012,Health,Other,South Eastern,Enugu,Enugu North, Unspecified, Unspecified, Unspecified,"2,000",,,"'Enugu North', '8659740'","'Enugu State', '2565344'","'Federal Republic of Nigeria', '2328926'"
NGA/000193,Modern Beekeeping Training for the general public,20/11/2007,09/01/2012,20/02/2012,31/12/2012,25/02/2012, Unplanned; 2012,Agriculture,Agribusiness and Producer Organisations,South Eastern,Enugu,Enugu North, Unspecified, Unspecified, Unspecified,"3,333",,,"'Enugu North', '8659740'","'Enugu State', '2565344'","'Federal Republic of Nigeria', '2328926'"
NGA/000194,Skills Aquisition and Empowerment of Youths in Bridal and Facial Make-up,20/11/2007,09/01/2012,23/01/2012,31/12/2012,28/01/2012, Unplanned; 2012,Poverty Alleviation,  Unspecified,South Eastern,Enugu,Enugu North, Unspecified, Unspecified, Unspecified,"6,667",,,"'Enugu North', '8659740'","'Enugu State', '2565344'","'Federal Republic of Nigeria', '2328926'"
NGA/000195,Establishing of the International Institute of Modern Beekeeping Technology,20/11/2007,24/04/2003,,31/12/2012,,2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012,Education,  Unspecified,North Central ,"Federal Capital Territory, Abuja",Kuje, Unspecified, Unspecified, Unspecified,0,,,"'Kuje', '8634971'",,"'Federal Republic of Nigeria', '2328926'"
NGA/000196,ENHANCING NIGERIA'S ADVOCACY FOR BETTER BUSINESS ENVIRONMENT,,01/10/2008,,31/03/2014,31/05/2014,2008; 2009; 2010; 2011; 2012; 2013; 2014,Trade and Investment,  Unspecified,North Western; South Western,Kano; Lagos,Kano; Mainland,United Kingdom (DFID),United Kingdom (DFID),Adams Smith International (ASI),"20,964,361",,,,"'Kano State', '2335196'; 'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
NGA/000197,Growth and Employment in States (GEMS),,10/09/2008,,30/03/2017,,2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017,Poverty Alleviation; Trade and Investment; Public Finance Management,  Unspecified,North Western; South Eastern; South Western; South South,Abia; Cross River; Jigawa; Kaduna; Kano; Lagos,  Unspecified,United Kingdom (DFID),United Kingdom (DFID),GRM international; Coffey International; Adams Smith International (ASI),"126,064,928",,,,"'Abia State', '2565340'; 'Cross River State', '2345891'; 'Jigawa State', '2565345'; 'Kaduna State', '2335722'; 'Kano State', '2335196'; 'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
